Hero,Official Title,Tier,Faction,Role,Dmg Type,Strengths,Best For,Recommended Gear,Team Synergies,All Skills Summary,F2P Priority,Spender Priority,DPS Rank,Tank Rank,Support Rank,Investment ROI,Notes
Sparta,God Slayer,S+,Nightfall,Tank,Physical,Taunt 4 enemies; −30% damage taken; strong PvP control tank,Spender PvP taunt — skip World Boss,Eternal Cloak + Spirit Shield; Evolution (Health); HP/DMG Reduction/Taunt,"Nightfall DPS (Daphne, Belial), Yord","Demonic Sacrifice: 504% Physical single. | Devil's Rage: −30% all damage taken. | Scatter the Weak: Taunt 2; −16.5% ATK 2 turns. | Demonic Edge: HP/ATK/DEF +20%, Speed +40.",,9,,5,,Medium,Verified Jul 2026
Valkyr,Valiant Warrior,S+,Human,Tank,Physical,Front-row −13% all + magic dmg; Judgment magic reduction for Humans,Spender PvP/rally Human buffer-tank,Spirit Shield + Devil's Heart; Evolution (Health); HP/DMG Reduction/Buff,"Andrew, Sophia, Fenixia, Human 3+2 comps","Battle Realm: 516% Physical single. | Battle Mark: Front-row −13% all dmg and −13% magic dmg. | Judgment: −19.9% Magic DMG all allies 1 turn; Human bonus. | Bloodthirst: HP/ATK/DEF +20%, Speed +40.",,4,,3,3,High (spender),Verified Jul 2026
Yord,Traveler of the Forest Sea,S+,Forest,Support,Magic,Team ATK buff + protects highest-ATK ally; +Speed; fits every comp,Every mode — mandatory investment,Devil's Heart + Spirit Shield; Evolution (Health); Health/Speed/Buff stats,"All DPS (Sera, Monica, Fenixia, Sophia); never bench","Universal Chord: 508% Magic single. | Lingering Echo: +45 Speed; −12% dmg to highest-ATK ally. | Travel Invitation: +16.5% ATK all allies 1 turn. | Safe Prelude: HP/ATK/DEF +20%, Speed +40.",1,1,,,1,Excellent,Verified Jul 2026
Aaron,Howling Wolf King,S,Forest,Support,Magic,126% magic + front-row −11% monster dmg,Forest support filler — low priority,Devil's Heart + Spirit Shield; Evolution (Health); Health/Buff,Forest PvE only,Mesmer Talon: 126.7% Magic single. | Lupine Nature: −21.5% monster damage taken. | Scar of Misfortune: Front-row −11% monster damage 1 turn. | Ravenous Pack: HP/ATK/DEF +10%.,,,14,,11,Low,Verified Jul 2026
Ali,Electric Boxer,S,Human,DPS,Physical,4×76% Piercing Fists multi-hit; +19% ATK passive,Human physical DPS filler,Cursed Book + Angelic Headband; Evolution (ATK); ATK/CRIT/Multi-hit,Human DPS comps — invest core heroes first,Electric Punch: 151.1% Physical single. | Piercing Fists: 4×76.7% Physical random. | Unstoppable War Drive: +19% ATK. | Unending Trials: HP/ATK/DEF +10%.,,,15,,,Low,Verified Jul 2026
Chakiss,Dragon Warrior(ess),S,Nightfall,Tank,Physical,297% charge + row AoE; −32% monster damage taken,PvE monster filler — pick ONE of Chakiss/Edric,Eternal Cloak + Spirit Shield; Evolution (Health); HP/Monster DMG Reduction,"Yord, PvE DPS backline; not PvP priority",Valiant Charge: 297% Physical single. | Valiant Counterattack: 249.4% Physical row; −6% enemy ATK. | Shield Shock: −32.2% monster damage taken. | Draconic Bloodline: HP/ATK/DEF +10%.,,,,8,,Low-Medium,Verified Jul 2026
Cthylla,Deep Terror,S,Nightfall,DPS,Magic,161% magic + Soul Bash DEF shred on 2 targets,Nightfall magic DEF shred — situational,Cursed Book + Angelic Headband; Evolution (ATK); ATK/Magic DMG/DEB,Nightfall magic comps,Soul Trial: 161.3% Magic single. | Tentacle Strike: +19% ATK. | Soul Bash: 113.3% Magic to 2 enemies; DEF debuff. | Harsh Discipline: HP/ATK/DEF +10%.,,,16,,,Low-Medium,Verified Jul 2026
Denise,Bard,S,Human,Support,Physical,Mirror Play + −21.8% monster dmg + back-row +12% monster buff,"Campaign support, PvE buffer",Devil's Heart + Time Amulet; Evolution (Health); Health/Buff/Speed,F2P PvE with Sera/Yord; Human support slot,Mirror Play: 143.2% Physical single. | Inspire: −21.8% monster damage taken. | Charming Song: Back-row +12% monster damage 1 turn. | One Last Song: HP/ATK/DEF +10%.,,,,,7,Medium,Verified Jul 2026
Edric,Spore Warrior,S,Forest,Tank,Physical,211% Savoir Faire + +80% DEF + −28% monster dmg; Forest tank filler,PvE monster filler — pick ONE of Chakiss/Edric,Eternal Cloak + Spirit Shield; Evolution (Health); HP/DEF/DMG Reduction,Forest PvE comps; Yord + Sera backline,Savoir Faire: 211% Physical single. | Longevity: +80% DEF during battle. | Agility: −28% monster damage taken 1 turn. | Strengthen: HP/ATK/DEF +10%.,,,,9,,Low-Medium,Verified Jul 2026
Faerie,Merciful Tree Spirit,S,Forest,DPS,Physical,+169% ATK passive; 210% 2-target punishment; Forest physical DPS,"Campaign DPS/healer hybrid, siege sustain",Devil's Heart + Spirit Shield; Evolution (Health); Health/ATK,"Forest PvE, Denise alternative backline",Nature's Awakening: 173.6% Physical single. | Unending Life: +169.6% ATK. | Nature's Punishment: 209.8% Physical to 2 random. | Primal Realm: HP/ATK/DEF +10%.,,,11,,8,Medium,Verified Jul 2026
Garuda,Dragonslayer,S,Human,Tank,Magic,175% magic + −27% monster dmg + +26% DEF front row,Human tank/support filler,Eternal Cloak + Spirit Shield; Evolution (Health); HP/DMG Reduction/DEF,"Andrew, Human PvE comps",Spear Rain: 175.2% Magic single. | Energizing Lance: −27% monster damage taken. | War Instinct: +26% DEF front row 1 turn. | Fervent Battle Soul: HP/ATK/DEF +10%.,,,,10,9,Low-Medium,Verified Jul 2026
Marissa,Spear of Revenge,S,Nightfall,DPS,Physical,425% Charge + Stun; 336% Precision; +27% monster dmg,Nightfall physical burst; situational PvE,Cursed Book + Angelic Headband; Evolution (ATK); ATK/CRIT/Stun,Nightfall physical comps,Charge: 425.3% Physical single; Stun chance. | Triumphal Emblem: +27% monster damage dealt. | Absolute Precision: 336% Physical single. | Ranged Deterrence: HP/ATK/DEF +10%.,,,12,,,Low,Verified Jul 2026
Reina,Enchanting Witch,S,Nightfall,DPS,Physical,5×75% multi-hit + +23% monster dmg dealt,Nightfall support/DPS filler,Cursed Book + Angelic Headband; Evolution (ATK); ATK/Multi-hit,Nightfall WB/PvE filler,Explosive Demon: 172.6% Physical single. | Devil's Embrace: +23% monster damage dealt. | Demonic Sacrifice: 5×75.3% Physical random. | Ward Evil: HP/ATK/DEF +10%.,,,13,,10,Low,Verified Jul 2026
Verna,Starlit Princess,S,Forest,DPS,Physical,683% hit + monster vuln debuff; +17% monster DMG; resource farming,"World Boss, monster hunt, PvE specialist",Cursed Book + Angelic Headband; Evolution (ATK); ATK/Monster DMG/Debuff,"Crystal, Yord, Sera (WB core), Fenixia",Whispers of the Stars: 683% Physical random; +12% dmg taken vs monsters. | Astral Guardian: +17.45% monster DMG; +53.45% resources after kills. | Dance of the Stars: 331.2% Physical to 2 random. | Star Sigil Protection: HP/ATK/DEF +10%.,4,6,10,,5,High (WB),Verified Jul 2026
Harold,Tekken Chief,A,Human,DPS,Physical,156% single + 143% 2-target; 3-skill budget DPS,Bench — do not invest,Basic DPS gear if forced; Cursed Book; low priority,None — filler only,Ruthless Fist: 156% Physical single. | Emergency Restoration: 143.1% Physical to 2 enemies. | Fury Stance: HP/ATK/DEF +5%.,,,17,,,Very Low,Verified Jul 2026
Moga,Garlic Samurai,A,Forest,DPS,Physical,236% Log Toss + 160% 2-target; best A-tier Forest DPS,Budget Forest DPS if no S-tier options,Cursed Book + Angelic Headband; Evolution (ATK); ATK/Physical DMG,Forest PvE filler,Log Toss: 236.1% Physical single. | Log Power: 160% Physical to 2 enemies. | Purifying Dew: HP/ATK/DEF +5%.,,,18,,,Very Low,Verified Jul 2026
Romano,Holy Inquisitor,A,Nightfall,DPS,Physical,158% Cleanse Heresy + 145% Piercing Fists (CS); +5% innate,Bench — 3-skill budget DPS,Basic DPS gear; low priority,Nightfall filler only,Cleanse Heresy: 158.8% Physical single. | Piercing Fists: 144.9% Physical to 2 enemies. | Unyielding Fortitude: HP/ATK/DEF +5%.,,,19,,,Very Low,Verified Jul 2026
Torun,Berserk Axe,A,Forest,DPS,Physical,156% Berserk Axe + 150% 2-target; 3-skill budget DPS,Bench — do not invest,Basic DPS gear; low priority,Forest filler only,Berserk Axe: 156% Physical single. | Rising Wrath: 150.4% Physical to 2 enemies. | Triumphant Howl: HP/ATK/DEF +5%.,,,20,,,Very Low,Verified Jul 2026
